,cr1-cr-other,cr2-cr-other,cr3-cr-other,cr3-i1,cr3-i2,cr3-i3,cr3-i6,cr4-cr-other,cr5-cr-other,cr5-i1,cr5-i4,cr5-i5,cr5-i7,cr5-i9,cr6-i1,"ft1-ft-other::
# of people wanted","ft2-ft-other::
name of team","ft3-ft-other::
team project focus","ft4-ft-other::
team project technology","ft5-i1::
front end wanted","ft5-i2::
back end wanted","ft5-i3::
data scientist wanted","ft5-i4::
designer wanted","ft5-i5::
ios person wanted","ft5-i6::
other roles wanted","ft5-i7::
web dev wanted","ft6-ft-other::
team project experience","ft7-ft-other::
team emails",other interest: ai,other interest: educ,other interest: technolog,other languages: matlab,"q1-i10::
fashion","q1-i11::
sports","q1-i12::
arts","q1-i1::
finance","q1-i2::
politics","q1-i3::
health","q1-i4::
travel","q1-i5::
entertainment","q1-i6::
music","q1-i7::
economics","q1-i8::
social issues","q1-i9::
gaming","q1-other::
other interest","q2-i1::
front end engineer","q2-i2::
back end engineer","q2-i3::
data scientist","q2-i4::
designer","q2-i5::
ios","q2-i6::
andriod","q2-other::
other role","q3-i10::
game dev","q3-i1::
web app dev","q3-i2::
mobile app dev","q3-i3::
data mining","q3-i4::
machine intel","q3-i5::
computer networks","q3-i6::
algorithm design","q3-i7::
vr/ar","q3-i8::
hardware","q3-i9::
IoT","q3-other::
other experience","q4-i10::
scala","q4-i1::
html","q4-i2::
js","q4-i3::
java","q4-i4::
c++","q4-i5::
python","q4-i6::
ruby","q4-i7::
c#","q4-i8::
sql","q4-i9::
swift","q4-other::
other languages","q5-i1::
communication skills","q5-i2::
design skills","q5-i3::
presentation skills","q5-i4::
project management skills","q6-i1::
have fun","q6-i2::
learn tech","q6-i3::
win","q6-i4::
socialize","q7-i1::
great code","q7-i2::
great concept","q7-i3::
great design","q7-i4::
great presentation","team join::
if want to join a team","team::
if have team","teammates::
if looking for teammate",uid
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anything psychology related,Front-end Engineer,,,Designer,,Android,,Completed multiple projects/courses,Completed one project/course,Completed one project/course,,Some experience,Completed one project/course,Completed one project/course,,Completed one project/course,,,,Some experience,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed one project/course,Completed multiple projects/courses,,,,,4,,,5,3,5,,4,5,4,,,true,false,59d12814c8bca053d261c4ab
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,Music,Economics,Social Issues,,,Front-end Engineer,,,,,Android,,,,,,,,,,,,,,Some experience,,Some experience,,Some experience,,,,,,5,3,3,4,3,5,2,3,4,4,3,3,true,false,,59d130f5c8bca053d261c4ae
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Travel,Entertainment,Music,,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,,,,Android,,Some experience,Completed one project/course,Completed multiple projects/courses,,,,Some experience,,,,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,,Completed multiple projects/courses,,,Some experience,,,5,4,4,4,4,4,4,4,4,4,4,4,true,true,false,59d13b4ec8bca053d261c4af
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaming,,,,,,,Android,,No experience,No experience,,,,,Some experience,,,,,,,Some experience,Completed one project/course,,,,,,,,,2,,2,5,5,3,5,4,5,4,1,true,false,,59d14c10c8bca053d261c4b7
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,Some experience,Some experience,,,,,,Some experience,,Completed one project/course,,Some experience,Some experience,,,,,,,,,3,5,,4,4,5,5,3,,,,59d159a6c8bca053d261c4bd
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,Politics,,,,,Economics,,Gaming,,,Back-end Engineer,Data Scientist,Designer,,,,,,,,,,Some experience,,Some experience,,,,,,Completed one project/course,,Completed one project/course,,,,,,3,2,3,4,4,5,3,4,3,4,4,3,true,false,,59d15bb1c8bca053d261c4be
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,No experience,,,,,,,,,,,,Completed one project/course,,Some experience,,,,,,,,,,3,4,,2,4,4,4,2,,,,59d17576c8bca053d261c4c7
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,,Entertainment,Music,,Social Issues,Gaming,,Front-end Engineer,,,,,,,,Some experience,,,,,,,No experience,,,,Some experience,,,,,,,,,,4,4,3,5,5,5,3,5,4,5,5,4,true,false,,59d19783c8bca053d261c4d2
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,Entertainment,,,,Gaming,,,,,,,,,,,Some experience,,,,,,Some experience,,,,,,,Completed one project/course,,,,,,,4,4,2,4,5,5,3,5,4,5,5,4,false,false,true,59d199f3c8bca053d261c4d3
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,Some experience,,,,Some experience,Some experience,,Some experience,,,,Completed multiple projects/courses,Some experience,Some experience,,Completed one project/course,,,,,,3,5,2,,5,5,3,5,3,5,3,2,,,,59d19daec8bca053d261c4d5
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,Music,,,Gaming,Food,,Back-end Engineer,,,,,,No experience,,Some experience,,No experience,Completed one project/course,Completed one project/course,,Some experience,Completed one project/course,,,Some experience,Some experience,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,,,,,MATLAB,3,2,,4,5,5,,,3,4,5,5,,true,false,59d1a6cfc8bca053d261c4d9
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,,Entertainment,Music,,,,Food,Front-end Engineer,,,Designer,,,,,Some experience,,,,,,,,,,,Completed one project/course,,Completed one project/course,,Completed one project/course,,,,,,4,5,3,3,5,5,,,3,4,5,4,,true,false,59d1a6dfc8bca053d261c4da
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Politics,Health,Travel,,,,Social Issues,,,,Back-end Engineer,Data Scientist,,,,,,Completed one project/course,,Completed one project/course,,,Completed one project/course,,,,,,Completed one project/course,Some experience,Completed one project/course,,,,,Completed one project/course,,,4,4,4,4,4,4,3,4,3,5,4,5,true,false,,59d1a8f4c8bca053d261c4de
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,,,,Travel,,Music,,,Gaming,,Front-end Engineer,,,,,Android,,,Completed one project/course,Some experience,,,,Completed one project/course,,,,,,Completed one project/course,Completed one project/course,Completed one project/course,Some experience,Completed one project/course,,,Some experience,,,4,4,4,3,4,5,3,5,5,5,4,4,false,false,,59d24946c8bca053d261c4f0
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,Politics,Health,,,,Economics,Social Issues,Gaming,,,Back-end Engineer,Data Scientist,,,,,,Completed one project/course,Some experience,Completed one project/course,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,,,,,Completed multiple projects/courses,Some experience,Completed one project/course,Some experience,Completed multiple projects/courses,,,Some experience,,,5,4,5,5,5,5,3,5,5,4,5,5,true,false,,59d25105c8bca053d261c4f1
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,Some experience,,,,,,,,,,,Completed one project/course,,Some experience,,,Completed one project/course,,,5,3,3,4,5,3,,5,5,5,4,4,,,,59d271b2c8bca053d261c4f5
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,59d27a5bc8bca053d261c4f8
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel,Entertainment,,Economics,Social Issues,Gaming,,,Back-end Engineer,Data Scientist,,,Android,,Completed one project/course,Some experience,Some experience,Some experience,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,No experience,Completed multiple projects/courses,,,,Some experience,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,,Completed multiple projects/courses,,,2,3,2,4,5,5,2,4,1,5,5,3,false,false,true,59d27b5ac8bca053d261c4f9
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,Some experience,,,,,Some experience,,,,,,Some experience,Completed one project/course,Completed one project/course,,,,,,,,3,3,2,3,5,5,,3,4,3,3,3,,,,59d29df8c8bca053d261c500
81,,,,,,,,,,,,,,,,,The Young Turks,"Gain experience, come up with a decent polished projec","Virows, and Mac OS as host",Front-end Engineer,Back-end Engineer,Data Scientist,Designer,iOS,,,Both Sophomoroes in Computer Science major,59de542d3b62e811697f4b6e,,,,,,,,,,,Travel,Entertainment,Music,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,Some experience,Some experience,,,Some experience,,Completed one project/course,,Completed one project/course,,,,Some experience,Some experience,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,,,,,,3,4,5,4,5,4,2,5,4,4,4,4,true,false,true,59d2ed68c8bca053d261c517
82,Shrug - ¯\_(ツ)_/¯,Something with Unity in AR or MI/AI,,,Back-end Engineer,Data Scientist,,"Unity, Python, JS, Java, Pytorch",Unknown,Finance,,Entertainment,,Gaming,Completed one project/course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ML/AI/AR,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,,,Whatever I can,,Completed multiple projects/courses,Some experience,Some experience,Some experience,,Some experience,,Completed one project/course,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,,Some experience,,,4,4,4,4,4,4,3,2,4,4,4,3,false,false,true,59d3bab5387840435cf9c6ed
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,Health,Travel,,,Economics,,,,Front-end Engineer,,,Designer,,,,No experience,,,,Completed one project/course,,,,,Some experience,,,,,,,Completed multiple projects/courses,,,,,,4,4,3,3,4,5,4,5,5,5,5,5,true,false,,59d3d385387840435cf9c6f1
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,,,,Travel,,,,Social Issues,,,Front-end Engineer,,,,,Android,,,Completed one project/course,Completed one project/course,Some experience,,Some experience,,Some experience,Some experience,,,,Completed one project/course,Completed one project/course,Completed one project/course,Completed one project/course,Completed one project/course,,,,,,4,3,3,2,5,3,,4,,2,5,,true,false,,59d3fc77387840435cf9c6f6
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,,Entertainment,,,,Gaming,,,Back-end Engineer,,Designer,,,,,No experience,,,,No experience,Some experience,,,,,,,,,,Completed one project/course,,,,,,3,4,3,3,3,5,2,4,3,5,5,4,false,false,,59d404b4387840435cf9c6f7
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,,Finance,,,Travel,Entertainment,Music,,Social Issues,,Technology,Front-end Engineer,Back-end Engineer,,Designer,,,,Some experience,Some experience,,Some experience,Some experience,Some experience,Completed one project/course,,Completed one project/course,,,,Some experience,,Completed one project/course,Completed one project/course,Completed one project/course,,Some experience,Some experience,,,4,4,4,4,3,5,4,5,5,5,5,5,true,false,,59d43033387840435cf9c6fd
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,Sports,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,,Completed multiple projects/courses,Completed one project/course,Some experience,Some experience,Completed one project/course,Some experience,No experience,,,,,Some experience,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Completed one project/course,,Some experience,Some experience,,,3,,2,,4,5,3,2,5,3,2,,,true,true,59d44ac7e91f783e0cad19c9
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,Travel,,Music,,Social Issues,Gaming,,,Back-end Engineer,Data Scientist,,,Android,,,Some experience,Some experience,Completed one project/course,Some experience,Completed one project/course,Completed one project/course,No experience,Some experience,Some experience,,,Completed one project/course,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,Some experience,,,,5,4,4,3,3,5,5,5,4,5,5,5,true,false,,59d45f0ae91f783e0cad19ce
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,Economics,,,,Front-end Engineer,Back-end Engineer,Data Scientist,,iOS,,,,Completed one project/course,Some experience,Completed multiple projects/courses,Completed one project/course,Some experience,Completed multiple projects/courses,,,,,,Completed one project/course,Completed one project/course,,,Completed multiple projects/courses,,,Completed one project/course,Completed one project/course,,3,4,5,4,5,5,5,5,4,4,4,4,true,false,,59d4e6a2e91f783e0cad19d7
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music,,,Gaming,,,Back-end Engineer,,,,,,,Some experience,,Completed one project/course,Some experience,,Completed multiple projects/courses,,,,,,Some experience,Some experience,Some experience,Completed one project/course,Completed one project/course,,,Some experience,,,3,2,3,2,4,5,,4,3,4,3,3,true,false,,59d53e39e91f783e0cad19e2
91,,,,,,,,,,,,,,,,3,We Miss ,"We are uncertain, would rather talk to all of our teammates to pick a field and focus.","MEAN Stack, Python, Bootstrap, jQuery OR Swift",Front-end Engineer,Back-end Engineer,,Designer,iOS,,,"On a scale of CS Freshman to Senior Engineer at Google, we're entry level software developers at some modest tech company.",59e81a458dd4091849b47061,,,,,Fashion,,Arts,,,Health,,Entertainment,Music,,Social Issues,,Technology,Front-end Engineer,Back-end Engineer,,,iOS,,,,Completed multiple projects/courses,Some experience,,Completed one project/course,,Completed one project/course,,Some experience,Completed one project/course,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Completed one project/course,,Completed one project/course,Completed one project/course,Completed one project/course,,5,5,5,5,4,4,5,4,4,5,5,5,,true,true,59d5497ee91f783e0cad19e8
92,,,,,,,,,,,,,,,,,SkedHub,Educational App,"Python, HTML, CSS, Javascript, and/or PHP",Front-end Engineer,Back-end Engineer,,,iOS,,,We have attended from 0-5 hackathons (range).,59cf0e9eca869411de5a7629,,,,,,,,,,,,,,,Social Issues,,Education,Front-end Engineer,Back-end Engineer,,Designer,,,,,Completed one project/course,,,,,Some experience,,,,,,Completed one project/course,Some experience,Completed multiple projects/courses,,Completed multiple projects/courses,,,,,,5,3,4,4,5,5,2,4,3,5,5,5,,true,true,59d55f33e91f783e0cad19ee
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,,Entertainment,,,,Gaming,,Front-end Engineer,,,Designer,,,,Some experience,Some experience,Some experience,,Some experience,Some experience,Some experience,Some experience,,,,,Some experience,,,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Completed one project/course,,,,4,2,3,2,5,5,,5,4,4,4,3,true,false,,59d56cede91f783e0cad19f0
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,,,,Some experience,Some experience,Some experience,Some experience,,,Some experience,Some experience,,,,,,,,Some experience,Some experience,,,,,,3,3,3,3,4,3,,4,2,2,2,3,true,false,,59d5d25ae91f783e0cad1a0f
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,Health,Travel,,,,Social Issues,,,,,,,,,,,,,,,Some experience,Some experience,,Some experience,Some experience,,,Some experience,Some experience,,,Some experience,,,Some experience,,,3,2,3,,4,2,,3,2,4,3,3,true,false,,59d67513e91f783e0cad1a21
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,,,,Health,Travel,,,Economics,,Gaming,,Front-end Engineer,,,,,,,,Some experience,Some experience,,,,,,,,,,Some experience,Some experience,Some experience,,Some experience,,,,,,3,2,2,,4,3,,3,2,3,2,3,,true,false,59d67bd4e91f783e0cad1a22
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,,Finance,Politics,,,,,Economics,,Gaming,,,,Data Scientist,,,,,,,,Some experience,,,,Some experience,Completed one project/course,Some experience,,,,,,Some experience,,,,,,,5,4,5,5,5,4,2,4,5,5,5,5,true,false,,59d681bbe91f783e0cad1a25
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,Music,,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,,,,,,,,,,,,,,,,,,,Some experience,Completed one project/course,Completed one project/course,Some experience,,,Completed one project/course,,,4,4,4,4,5,4,,5,4,4,4,4,,true,false,59d6894ce91f783e0cad1a27
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,,Health,,,,,,,Mainly Health,,,Data Scientist,,,,,No experience,No experience,No experience,Completed multiple projects/courses,Some experience,,Some experience,,,,,,,,Completed one project/course,,Completed multiple projects/courses,,,Some experience,,,5,4,5,5,4,5,4,5,4,5,4,4,true,false,,59d6e22ce91f783e0cad1a3a
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,,,Travel,Entertainment,,Economics,,Gaming,,Front-end Engineer,Back-end Engineer,,,,,Electrical and Firmware,Some experience,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,No experience,,Completed one project/course,,C++ and C,5,4,3,4,5,4,4,5,3,5,4,4,true,false,,59d70e66e91f783e0cad1a48
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,Finance,,Health,Travel,Entertainment,,Economics,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,,Android,,Some experience,Some experience,Some experience,Some experience,,Some experience,Some experience,,,,,,Some experience,Some experience,Completed multiple projects/courses,,Completed one project/course,,,,,,5,4,4,4,5,4,2,3,4,3,5,4,true,false,,59d71b8ce91f783e0cad1a4e
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,59d7c68ee91f783e0cad1a5b
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,No experience,Completed one project/course,Completed one project/course,,Some experience,,,,,,Completed one project/course,Completed one project/course,Completed multiple projects/courses,,Completed multiple projects/courses,,,Some experience,,,5,4,4,3,4,4,,4,4,4,3,4,,,,59d7d4cee91f783e0cad1a5f
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,Politics,Health,Travel,Entertainment,,Economics,,,,,,Data Scientist,,,,,,Completed one project/course,Completed one project/course,Completed one project/course,Some experience,Completed one project/course,Completed one project/course,,Completed one project/course,Completed one project/course,,,Completed one project/course,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Some experience,,Completed multiple projects/courses,,,4,3,4,4,3,4,2,5,4,5,5,5,,true,false,59d7f427e91f783e0cad1a63
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,,,,,,,,,,,Completed multiple projects/courses,Some experience,Completed one project/course,,Some experience,Some experience,,Completed one project/course,,,2,2,2,4,4,4,1,3,3,3,3,3,,true,true,59d816d9e91f783e0cad1a67
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,Completed one project/course,,,Some experience,,,Some experience,No experience,,,Some experience,Some experience,Completed one project/course,Completed one project/course,Completed multiple projects/courses,,,Completed one project/course,,,2,2,2,2,5,4,,3,5,4,5,3,,,,59d8186ee91f783e0cad1a68
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,Travel,Entertainment,,Economics,Social Issues,,,Front-end Engineer,,Data Scientist,Designer,,Android,,Some experience,Some experience,Some experience,Some experience,Some experience,Some experience,Completed one project/course,Some experience,Some experience,Some experience,,Some experience,,Some experience,Completed one project/course,Some experience,Completed one project/course,Some experience,,Some experience,Some experience,,5,4,4,4,5,5,5,5,5,4,3,3,true,false,,59d83cdae91f783e0cad1a6e
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No experience,No experience,,,,Some experience,,,,,,,,,,Some experience,Some experience,,,,,4,3,5,4,4,5,3,4,4,4,4,4,,,,59d848b4e91f783e0cad1a70
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,Designer,,,,,No experience,No experience,,Completed one project/course,No experience,,,,,,,,,,,,,,,,,4,5,4,5,5,5,4,5,,5,3,2,true,false,,59d94f8a8ac2a56ad2aaeec7
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,,,,,Travel,Entertainment,Music,,,,,Front-end Engineer,,,Designer,,,,,,,,,,Completed one project/course,,,,,,,,Completed one project/course,,Completed one project/course,,,,,,5,3,3,5,5,5,3,5,4,4,5,5,true,false,,59da61408ac2a56ad2aaeed6
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,,,,,Front-end Engineer,Back-end Engineer,,,,,,,,,Some experience,Some experience,,Some experience,,,,,,,,,Completed one project/course,,,,Completed one project/course,,,4,3,2,3,2,5,3,2,2,3,3,3,true,false,,59da68b68ac2a56ad2aaeed9
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,Travel,Entertainment,Music,,Social Issues,Gaming,,,Back-end Engineer,,,iOS,Android,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,Completed multiple projects/courses,,,Some experience,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,,Completed multiple projects/courses,Some experience,,3,3,3,3,5,5,5,5,5,4,3,4,,true,true,59da9d688ac2a56ad2aaeee3
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,,,,,Entertainment,Music,,,Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59dad29f8ac2a56ad2aaeeee
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Arts,,,,,,Music,,,,,Front-end Engineer,Back-end Engineer,,Designer,iOS,,,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,,Completed one project/course,Some experience,,Some experience,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Some experience,,Some experience,Completed multiple projects/courses,Ats....,5,5,4,3,5,4,4,5,5,5,5,5,true,false,,59dadb9d8ac2a56ad2aaeeef
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,59dae3608ac2a56ad2aaeef1
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No experience,No experience,,,,,,,,,,,,,,,,,,,,5,3,2,3,4,4,3,5,2,4,4,3,,,,59db7f0c8ac2a56ad2aaeef9
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,Some experience,Some experience,Some experience,Some experience,Completed multiple projects/courses,,Some experience,Some experience,,,Completed multiple projects/courses,,Completed one project/course,Some experience,Completed multiple projects/courses,,,Completed multiple projects/courses,,,5,4,4,4,5,5,5,5,4,5,3,5,,,,59dba0ec8ac2a56ad2aaef00
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,Entertainment,,,Social Issues,Gaming,,,Back-end Engineer,,,iOS,Android,,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Some experience,,Completed one project/course,Some experience,Some experience,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,,,Completed multiple projects/courses,Some experience,,,4,3,4,4,5,5,5,5,5,5,5,4,true,false,,59dbb7b28ac2a56ad2aaef06
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,,,,Health,Travel,,,,,,,,Back-end Engineer,,,,,,,Some experience,,,,,Completed one project/course,,,,,,Some experience,,Completed multiple projects/courses,Completed one project/course,,,,,,,5,4,5,3,5,5,3,5,3,5,3,5,true,false,,59dbb82a8ac2a56ad2aaef07
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No experience,,Some experience,,,,,,Some experience,,,,,,Completed multiple projects/courses,,,,,,,,3,3,3,4,5,5,2,5,5,5,5,1,,,,59dbcd728ac2a56ad2aaef08
121,,,,,,,,,,,,,,,,2,Codenza,Not Yet Decided,Anything that be used at that moment,Front-end Engineer,Back-end Engineer,,,,,Web Dev,Good,"59da9d688ac2a56ad2aaeee3, 59cf1ea4ca869411de5a763e",,,,,,,,,,Health,,,,,,,"Security, App Development, Web Based Platforms",Front-end Engineer,Back-end Engineer,,Designer,,Android,Security,,Completed multiple projects/courses,Completed one project/course,,,Completed one project/course,Some experience,,Completed one project/course,Some experience,,,Completed multiple projects/courses,Some experience,Some experience,Some experience,Some experience,,Some experience,Completed one project/course,,Java,4,4,4,3,5,4,5,5,4,3,4,4,,true,true,59dbdbc48ac2a56ad2aaef0a
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,59dbed708ac2a56ad2aaef0f
123,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Issues,Gaming,,,,Data Scientist,,,,,,,,,No experience,,,,Some experience,,,,,,,Completed one project/course,,,,,,,5,2,5,5,5,3,,5,,,,,,true,false,59dcec5e3b62e811697f4b3c
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,,,Music,,Social Issues,,,Front-end Engineer,,,Designer,,,,,Some experience,,,,,,,,,,,,,,Completed one project/course,,,,,,MATLAB lol,5,5,5,4,4,5,,2,3,5,5,5,,true,false,59dcf5883b62e811697f4b3f
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,,,,,,Economics,,,,Front-end Engineer,,,,,,,,Completed one project/course,,No experience,Some experience,Some experience,Some experience,,,,,,Completed multiple projects/courses,Completed one project/course,Completed one project/course,,Completed multiple projects/courses,Completed one project/course,,Completed one project/course,,,5,3,4,3,5,5,5,5,5,5,5,5,true,false,,59dd32e63b62e811697f4b44
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,Some experience,,,Completed one project/course,Completed one project/course,,,,,,Completed one project/course,Completed one project/course,Completed one project/course,,No experience,,,Completed one project/course,,,3,3,2,3,4,5,4,5,5,5,5,2,,,,59dd6fce3b62e811697f4b4a
